recipe_href	title	recipe_id	new_recipe_id	new_fsa_score	sodium	selection_burger	selection_salad	selection_pasta	selection_curry	avg_z_ratings	afbeeldingaanpassen	img	img_visual	rating	fat	calories	sugar
http://allrecipes.com/recipe/thai-pineapple-shrimp-curry/detail.aspx	Thai Pineapple Shrimp Curry	5396970	55		1.62				1			https://images.media-allrecipes.com/userphotos/5396970.jpg			37.7	651.00	29.80
http://allrecipes.com/recipe/beckys-slow-cooker-gluten-free-thai-chicken-curry/detail.aspx	Becky's Slow Cooker Gluten-Free Thai Chicken Curry	1285410	56		0.46				1			https://images.media-allrecipes.com/userphotos/1285410.jpg			57	434.00	2.60
http://allrecipes.com/recipe/tomato-curry-chicken/detail.aspx	Tomato Curry Chicken	457254	57		0.62				1			https://images.media-allrecipes.com/userphotos/457254.jpg			15	286.00	6.50
http://allrecipes.com/recipe/maharaja-curry/detail.aspx	Maharaja Curry	778993	58		0.06				1			https://images.media-allrecipes.com/userphotos/778993.jpg			11.8	240.00	7.30
http://allrecipes.com/recipe/coconut-curry-chicken-and-peanuts/detail.aspx	Coconut Curry Chicken and Peanuts	3610353	59		0.10				1			https://images.media-allrecipes.com/userphotos/3610353.jpg			31.7	339.00	2.80
http://allrecipes.com/recipe/black-pepper-goat-curry/detail.aspx	Black Pepper Goat Curry	1597452	60		2.07				1			https://images.media-allrecipes.com/userphotos/1597452.jpg			17.8	309.00	7.90
http://allrecipes.com/recipe/burmese-chicken-curry/detail.aspx	Burmese Chicken Curry	8610116	61		0.50				1			https://images.media-allrecipes.com/userphotos/8610116.jpg			14.2	215.00	2.10
http://allrecipes.com/recipe/quick-and-easy-vegetable-curry/detail.aspx	Quick and Easy Vegetable Curry	6348017	62		0.27				1			https://images.media-allrecipes.com/userphotos/6348017.jpg			4	103.00	3.90
http://allrecipes.com/recipe/warm-brussels-sprout-bacon-and-spinach-salad/detail.aspx	Warm Brussels Sprout, Bacon and Spinach Salad	858733	63		0.52		1					https://images.media-allrecipes.com/userphotos/858733.jpg			45.80	383.00	1.40
http://allrecipes.com/recipe/cindys-turkey-salad/detail.aspx	Cindy's Turkey Salad	1134165	64		0.57		1					https://images.media-allrecipes.com/userphotos/1134165.jpg			20.6	239.00	1.50
http://allrecipes.com/recipe/citrus-jell-o-salad/detail.aspx	Citrus Jell-O® Salad	2920377	65		0.25		1					https://images.media-allrecipes.com/userphotos/2920377.jpg			39.3	417.00	35.60
http://allrecipes.com/recipe/summer-chickpea-salad/detail.aspx	Summer Chickpea Salad	6778106	66		0.78		1					https://images.media-allrecipes.com/userphotos/6778106.jpg			14.70	347.00	6.30
http://allrecipes.com/recipe/key-west-crab-salad/detail.aspx	Key West Crab Salad		67		0.31		1								4.30	183.00	12.70
http://allrecipes.com/recipe/conners-birthday-pasta-salad/detail.aspx	Conner's Birthday Pasta Salad	881045	68		2.18		1					https://images.media-allrecipes.com/userphotos/881045.jpg			42.2	739.00	9.50
http://allrecipes.com/recipe/pork-and-bean-salad-ii/detail.aspx	Pork and Bean Salad II		69		1.18		1								20.8	403.00	28.30
http://allrecipes.com/recipe/easy-broccoli-bacon-salad/detail.aspx	Easy Broccoli Bacon Salad	2264735	70		0.30		1					https://images.media-allrecipes.com/userphotos/2264735.jpg			20.3	280.00	20.40
http://allrecipes.com/recipe/classic-macaroni-salad/detail.aspx	Classic Macaroni Salad	3608188	71		0.53		1					https://images.media-allrecipes.com/userphotos/3608188.jpg			21.5	390.00	15.50
http://allrecipes.com/recipe/sriracha-tuna-salad/detail.aspx	Sriracha Tuna Salad	1346204	72		0.93		1					https://images.media-allrecipes.com/userphotos/1346204.jpg			21.4	303.00	5.60
