"id","expname","subject","ip","condnum","choice","submitted","event","name","value","time","queryterm","querytype","Rec-q1","Rec-q2","Rec-q3","Rec-q5","Ch-q1","Ch-q2","Ch-q4","Ch-q5","submit"
"4","survey2","S199","::1","199","","2020-12-03 15:13:00","onload","body","body","28","Salad","queryRanking.php","0","0","0","0","0","0","0","0","confirm"
"4","survey2","S199","::1","199","","2020-12-03 15:13:00","submit","submit","succeeded","6677","Salad","queryRanking.php","0","0","0","0","0","0","0","0","confirm"
