"id","expname","subject","ip","condnum","choice","submitted","event","name","value","time","user_v1"
"7","index4","S199","::1","199","Best Burgers Yet","2020-12-03 15:13:37","onload","body","body","40",""
"7","index4","S199","::1","199","Best Burgers Yet","2020-12-03 15:13:37","submit","body","body","20583",""
