"id","expname","subject","ip","condnum","choice","submitted","event","name","value","time","queryterm","querytype","Rec-q1","Rec-q2","Rec-q3","Rec-q5","Ch-q1","Ch-q2","Ch-q4","Ch-q5","submit"
"8","survey4","S199","::1","199","","2020-12-03 15:13:40","onload","body","body","41","Burger","queryBase.php","-2","-2","-2","-2","-2","-2","-2","-2","confirm"
"8","survey4","S199","::1","199","","2020-12-03 15:13:40","submit","submit","succeeded","3502","Burger","queryBase.php","-2","-2","-2","-2","-2","-2","-2","-2","confirm"
