"id","expname","subject","ip","condnum","choice","submitted","event","name","value","time","user_v1"
"1","index1","S199","::1","199","Turkey Curry with Cashews","2020-12-03 15:11:31","onload","body","body","28",""
"1","index1","S199","::1","199","Turkey Curry with Cashews","2020-12-03 15:11:31","submit","body","body","41151",""
